company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,return_on_capital_employed_pct,debt_to_equity,interest_coverage,icr_label,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_3yr,revenue_cagr_3yr_flag,revenue_cagr_5yr,revenue_cagr_5yr_flag,revenue_cagr_10yr,revenue_cagr_10yr_flag,pat_cagr_3yr,pat_cagr_3yr_flag,pat_cagr_5yr,pat_cagr_5yr_flag,pat_cagr_10yr,pat_cagr_10yr_flag,eps_cagr_3yr,eps_cagr_3yr_flag,eps_cagr_5yr,eps_cagr_5yr_flag,eps_cagr_10yr,eps_cagr_10yr_flag,cfo_quality_score,cfo_quality_label,capex_intensity_pct,capex_label,fcf_conversion_pct,capital_allocation_label,high_leverage_flag,icr_warning_flag,composite_quality_score,yearn,company_name,broad_sector,sub_sector,index_weight_pct,market_cap_category,pe,pb,market_cap_crore,fcf_yield_pct,dividend_yield_pct,net_profit,sales
SIEMENS,2024-09,12.221223021582734,13.956834532374101,17.698769290877124,25.76745970836531,0.018167610861496385,67.15,,0.8790861298865568,1168.0,502.0,76.0,216.29577464788733,16.0,279.0,1670.0,18.998700727442852,,11.193358902067896,,7.612937546261267,,35.646062247422265,,19.85339817550189,,16.250067578355253,,34.83955155292464,,19.643850003755613,,16.15461431239702,,0.8407752345640682,Moderate,2.2571942446043165,Asset Light,37.628865979381445,Reinvestor,0,0,48.81276981917111,2024,Siemens Ltd,Industrials,Capital Goods,0.99,Large Cap,33.32,9.25,1191331.95,0.09804152402695152,3.69,2718.0,22240.0
HAVELLS,2024-03,6.837009144701453,10.118343195266272,17.067275412917954,27.483870967741936,0.040687525177924,25.357142857142858,,1.4952143489101584,335.0,1618.0,20.0,118.2063492063492,44.0,303.0,1953.0,21.14089015706202,,13.037907939063121,,8.728389766288359,,6.77797587953104,,10.033231229420036,,11.040413196880138,,5.566719197800074,,8.997698704834534,,11.069085371075271,,1.0531615268489045,High Quality,8.703604088219473,Capital Intensive,17.809675704412548,Shareholder Returns,0,0,48.42624484684823,2024,Havells India Ltd,Industrials,Consumer Electricals,1.44,Large Cap,45.41,14.08,2521508.87,0.013285695877801929,2.6,1271.0,18590.0
PIDILITIND,2024-03,14.108051360736493,21.868690947266415,20.780302129178065,31.52804642166344,0.045438325205186154,54.333333333333336,,1.0254223252732693,955.0,1769.0,34.0,164.84313725490196,47.0,382.0,2724.0,19.2998469335665,,11.836370175898114,,11.200766251991956,,15.76701574818362,,13.48774998597666,,14.527040733688779,,15.616214441920405,,13.564157249607756,,14.215130617291273,,1.1872411286700877,High Quality,14.285714285714285,Capital Intensive,35.2658788774003,Shareholder Returns,0,0,48.190695826994535,2024,Pidilite Industries Ltd,Materials,Specialty Chemicals,2.15,Large Cap,36.12,12.3,162274.18,0.588510137595519,1.01,1747.0,12383.0
ICICIGI,2024-03,9.366915605017816,87.42129155073948,15.7230643179025,146.4297385620915,0.0028676771814829987,160.02678571428572,,0.3236083907247109,486.0,1921.0,39.0,24.75659229208925,28.0,35.0,2407.0,18.98796206427069,,12.911841003362579,,16.75593015728085,,9.217125634550683,,12.839173718198161,,13.948119696893514,,6.816467042447916,,11.139222486886503,,12.5092775800282,,1.4589650130170952,High Quality,9.37667789329819,Capital Intensive,2.7135678391959797,Shareholder Returns,0,0,48.077244177713595,2024,ICICI Lombard General Insurance Company Ltd,Financials,General Insurance,3.51,Large Cap,49.0,7.86,1271789.21,0.03821387979852416,3.46,1919.0,20487.0
TCS,2024-03,19.136712150207767,26.690688396923118,50.944313673485176,68.78489493452442,0.0886406082507266,87.09511568123393,,1.6559406621205455,50429.0,6091.0,127.0,249.9696132596685,58.0,8021.0,44338.0,13.632864555506409,,10.463614801716602,,11.404391189817975,,12.286310199806593,,7.871172131953608,,9.07908137484088,,13.007434657986106,,8.618771612987096,,9.991915190476197,,1.0364105693048848,High Quality,2.528508507926756,Asset Light,78.43256190120692,Liquidating Assets,0,0,47.564298860904955,2024,Tata Consultancy Services Ltd,Information Technology,IT Services,1.1,Large Cap,78.69,6.08,461188.15,10.934582772779395,1.62,46099.0,240893.0
HCLTECH,2024-03,14.293122742532729,22.015594151738192,23.01393141233172,34.71042001594142,0.08435023365512796,46.46112115732369,,1.1101650405025958,15840.0,6608.0,58.0,125.7145488029466,90.0,5758.0,22448.0,13.396477329776978,,12.710299978373406,,13.082373204583831,,12.043662852781601,,9.194090295112023,,9.179123626035102,,12.257330985276148,,9.407036350794119,,9.69075247889608,,1.371283984612863,High Quality,6.012027694631208,Moderate,65.45995536821225,Shareholder Returns,0,0,45.29056798245307,2024,HCL Technologies Ltd,Information Technology,IT Services,2.5,Large Cap,63.63,5.44,412593.29,3.8391317512701186,1.99,15710.0,109913.0
ASIANPAINT,2024-03,15.658543456824905,21.3692069305536,29.677488252883382,39.64720309404773,0.1321016659547202,41.00487804878049,,1.187084044011906,3556.0,2548.0,57.0,195.08333333333334,58.0,2474.0,6104.0,17.801037676951047,,13.029660349453076,,11.25245350301849,,20.117567163333238,,20.277362101955056,,15.971565352132288,,19.983162620797668,,20.973552688431262,,15.929283130870008,,0.9321931577763527,Moderate,7.17847584166784,Moderate,46.88200395517469,Reinvestor,0,0,44.96687866614272,2024,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Materials,Paints & Coatings,1.13,Large Cap,73.37,3.9,2126725.18,0.16720543083991699,2.42,5558.0,35495.0
NESTLEIND,2024-03,16.12281708616873,23.829630236943512,117.75449101796407,162.06241519674356,0.10329341317365269,41.186206896551724,,2.318160220469448,2938.0,1237.0,41.0,34.791666666666664,79.0,345.0,4175.0,18.282008662499027,,14.548573711802671,,9.487020936359048,,22.913427743605965,,14.852319512993839,,12.745848564103014,,23.06098642720351,,15.43852585822143,,13.073350509641957,,1.1143341868752215,High Quality,5.070919078461917,Moderate,50.541888869774645,Shareholder Returns,0,0,44.300856615188614,2024,Nestle India Ltd,Consumer Staples,Food Products,0.94,Large Cap,54.96,14.34,1677775.19,0.17511285287273798,3.85,3933.0,24394.0
LT,2024-03,7.031246466738726,13.506668535997433,77.66510140873214,152.61895060890035,0.10345688880007993,3.5441547518923464,,8.027628521638107,20445.0,2179.0,95.0,667.2666666666667,36.0,2071.0,18266.0,17.592821624288746,,10.335347989682408,,10.02514597108597,,6.361264204860495,,8.75885858017449,,12.273743409690363,,5.027553928675843,,8.56169392953159,,10.500834061722086,,1.4464230063906993,High Quality,0.9854689683555468,Asset Light,68.45806127574083,Liquidating Assets,0,0,41.09856167807075,2024,Larsen & Toubro Ltd,Industrials,Engineering & Construction,3.03,Large Cap,30.8,2.48,1124597.5,0.0,1.26,15547.0,221113.0
ADANIPOWER,2024-03,41.36759945184802,36.20186292228556,48.27674122146251,36.15051246768946,0.8023177656738903,8.297225501770956,,0.5472399439185297,17651.0,3481.0,54.0,11.186155042779362,0.0,34616.0,14170.0,24.294797156226156,,16.086096410440966,,12.629527157691523,,154.07088459944453,,,TURNAROUND,,TURNAROUND,162.07413942088965,,,TURNAROUND,,TURNAROUND,1.3223405880103996,High Quality,6.9134674584417395,Moderate,96.83454026771999,Liquidating Assets,0,0,,2024,Adani Power Ltd,Energy,Power & Utilities,3.01,Large Cap,44.57,9.91,1372183.55,1.2863439442922924,1.65,20829.0,50351.0
ATGL,2024-03,14.927374301675977,24.670391061452516,18.65921787709497,22.698072805139187,0.43491620111731844,10.504504504504505,,0.6788531553398058,0.0,,6.0,32.54545454545455,4.0,1557.0,,38.18335427451367,,21.08864867789759,,,INSUFFICIENT,12.99654305433795,,23.8762916927858,,,INSUFFICIENT,14.471424255333186,,24.57309396155174,,,INSUFFICIENT,,,,,0.0,Mixed,0,0,,2024,Adani Total Gas Ltd,Energy,Gas Distribution,0.6,Large Cap,56.96,5.76,1535602.41,0.0,0.51,668.0,4475.0
CANBK,2024-03,13.935160470145405,41.753906568101414,16.716051794688113,3.1560701628619485,14.867419925542423,1.6106611743349857,,0.0719985042520674,13296.0,1750.0,17.0,50.78996692392503,19.0,1369780.0,15046.0,16.302939300232524,,18.17561078322378,,10.817178802179583,,73.3401622666352,,85.7752850068174,,19.14374492187123,,61.980590063874175,,53.4206382524911,,5.449589185476622,,4.069631350415008,High Quality,1.583438141857961,Asset Light,28.81289819269276,Shareholder Returns,0,0,,2024,Canara Bank,Financials,Public Sector Banks,2.96,Large Cap,36.74,12.61,496415.88,2.6783994097851984,3.81,15401.0,110519.0
INDIGO,2024-03,11.852722628584697,76.29890862649484,892.568306010929,5643.454935622318,0.018579234972677595,22.612639724849526,,56.38625204582652,9424.0,11759.0,212.0,19.0625,0.0,17.0,21183.0,67.58091776468258,,19.313355125806165,,20.01227897172877,,,TURNAROUND,120.69250867467933,,32.9316579498421,,,TURNAROUND,121.23568222761168,,-34.87773528813343,,-14.344662971577202,Accrual Risk,17.065772669220944,Capital Intensive,17.92555113841706,Reinvestor,0,0,,2024,Interglobe Aviation Ltd,Consumer Discretionary,Airlines,3.03,Large Cap,76.23,7.87,1040632.92,0.9056027172386589,4.27,8167.0,68904.0
